1 -> 19, 2 -> 20, 3 -> 20, 6 -> 21, 7 -> 21, 1 -> 22, 1 -> 23, 4 -> 24, 5 -> 24,
6 -> 25, 7 -> 25, 6 -> 27, 7 -> 27, 8 -> 28, 9 -> 28, 8 -> 29, 9 -> 29, 6 -> 30,
7 -> 30, 10 -> 32, 11 -> 32, 12 -> 33, 13 -> 33, 14 -> 35, 15 -> 35, 6 -> 36,
7 -> 36, 14 -> 37, 15 -> 37, 18 -> 38, 19 -> 39, 20 -> 40, 21 -> 41, 22 -> 42,
20 -> 43, 23 -> 44, 24 -> 44, 25 -> 45, 26 -> 45, 27 -> 46, 28 -> 46, 27 -> 47,
28 -> 47, 27 -> 48, 28 -> 48, 27 -> 49, 28 -> 49, 29 -> 50, 30 -> 50, 27 -> 51,
28 -> 51, 31 -> 52, 32 -> 52, 33 -> 53, 34 -> 53, 27 -> 54, 28 -> 54, 35 -> 55,
36 -> 55, 37 -> 57, 20 -> 59, 38 -> 60, 39 -> 61, 40 -> 63, 41 -> 63, 42 -> 64,
43 -> 65, 44 -> 65, 45 -> 66, 46 -> 66, 47 -> 67, 47 -> 68, 48 -> 69, 49 -> 70,
50 -> 71, 51 -> 72, 52 -> 72, 51 -> 73, 52 -> 73, 53 -> 74, 48 -> 74, 54 -> 75,
55 -> 75, 55 -> 76, 56 -> 76, 54 -> 77, 55 -> 77, 58 -> 78, 59 -> 78, 58 -> 79,
59 -> 79, 54 -> 80, 55 -> 80, 59 -> 81, 60 -> 81, 62 -> 82, 63 -> 82, 65 -> 83,
66 -> 83, 67 -> 84, 68 -> 85, 75 -> 85, 72 -> 86, 73 -> 87, 74 -> 88, 74 -> 89,
77 -> 90, 78 -> 90, 79 -> 91, 80 -> 92, 81 -> 92
